nom,vi
𨑮 𫷜 冲 芝 𬞕,ườ ă   
故 知 負 几 他 郷 朱 仃,ố  ụ ẻ  ươ  đà
𭌝 朱 丐 𫗂 人 情,ớ  á ó â ì
𤾓 朝 反 覆 如 形 波 瀾,ă ề ả ú ư ì  
世 常 𢀭 合 庫 㪚,ế ườ à ợ ó à
平 原 易 𠳚 肝 腸 特 牢,ì ê ễ ử  à đượ 
固 勾 浪 貴 易 交,ó â ằ ý ị 
伴 尼 埃 吏 𠶆 𠓨 沛 庒,ạ à  ạ ờ à ả ă
擬 𠫾 擬 吏 用 孕,ĩ đ ĩ ạ ù ằ
払 楊 強 擬 𧵆 賖 強 油,à ươ à ĩ ầ  à ầ
功 謨 𫺶 𠊛 仍 𠓨 𢚸,ô  ậ ườ ư à ò
浪 冲 運 固 窮 通,ằ  ậ ó ù ô
𦑃 鴻 拱 﨤 順 風 固 𣈗,á ồ ũ ặ ậ  ó à
傕 計 礼 之 𣈙,ô ể ể  à
者 㤙 𠳚 房 𫢩 呈 𠊛,ả ơ ử ò  ì ườ
謝 辞 渚 﨤 𢴑 𠳒,ạ ừ ư ặ ắ ờ
拔 湥 玉 培 移 𨃴 花,ạ ọ ọ ộ ờ ó 
𠫆 䝉 者 㤙 溇,à  ả ơ â
隊 夫 人 貝 娘 侯 咀 嘆,đò  â ớ à ầ ở 
浪 冲 奇 造 端,ằ  ả ạ đ
𢖵 𦑗 濃 強 𠸗 挹 冷,ớ ạ ồ ươ ư ấ ạ
𠎬 樁 萱 孟 羕 芇,đứ  ê ạ ườ à
𢖵 勾 生 我 劬 勞,ớ â  ã ù 
察 勾 拾 女 朱 𠓨 曰 無,é â ậ ữ  à ế ô
儗 𢢆 仉 揞 墓 拖 𩆐,ĩ ẹ ẻ ô ồ đỡ ấ
買 拱 𠊛 疎 矧 哭 𣒣,ớ ù ườ ơ ẩ ó ă
責 𤤰 閍 朶 和 光,á  ô đá à 
公 明 女 底 堆 塘 格 賖,ô  ỡ để đô đà á 
㤙 義 意 海 河 記,â ĩ ấ ả à 
怨 恨 尼 揞 底 边,á ậ ầ ô để ê
𢞂 𥉫 風 景 渃 番,ồ ô  ả ướ ê
𦹵 花 欲 𢚸 煩 𢖵 埃,ỏ  ụ ò ề ớ 
𢘾 娘 主 饋 𨖅 㐌 停,ờ à ủ ỹ  đã đà
仍 些 買 博 刘 平,ư  ấ á ư ì
本 𠊛 知 己 麻 情 同 心,ố ườ  ỉ à ì đồ â
别 包 書 𪽗 棋 琴,ế  ư ạ ì ầ
筆 硯 畑 册 𨑮 𢆥 𡗶 𧷺,ú ê đè á ườ ă ờ ò
払 刘 徐 𨀈 蹎,à ư ừ ướ â
𢖵 埃 掑 簮,ớ  à â
准 繞 抇 脢 金,ố ê ặ ũ 
姊 㛪 疎 矧 𠓀 軒,ị  ơ ẩ ướ ê
梗 壁 採 花 蓮 唭,à í á   ườ
𥪝 襖 紫 𣹓 潙 湥, á í đầ ơ ọ
外 花 𦹳 仍 㐌 残,à  ơ ư đã à
草 芇 欺 𠓀 出 䦕,ả à  ướ ấ 
昭 君 江 下 杏 元 河,ê â  ạ ạ ê à
𠄩 娘 意 𦹳 秋 閍, à ấ ơ  ô
寔 羕,ự ườ
些 它 荣 𩔰 𠊛 群 寒 微, đà  ể ườ ò à 
擬 傷 𠊛 𣇜 危,ĩ ươ ườ ổ 
塘 文 章 别 𥙩 之 專 勤,đườ ă ươ ế ấ  ê ầ
闷 朱 伴 友 成 身,ố  ạ ữ à â
丕 𢧚 𢚁 旦 夫 人 𠬠 𠳒,ậ ê ậ đế  â ộ ờ
交 朱 𨑮 鐄 𨑮,  ườ à ườ
𠫾 爫 本 麻 餒 伴 賢,đ à ố à ô ạ ề
曾 𨕭 雪 㸃 坡 𩭶 泊,ầ ê ế để  â ạ
𣐆 霜 坡 淡 𦟐 紅,ớ ươ  đượ á ồ
肝 義 𤋵 𫥨 共 姉 月, ĩ ã  ù ị ệ
塊 情 固 買 𠇍 𡽫 滝,ố ì ó ã ấ  ô
𥒥 箕 群 别 滝 𫅷 胤,đá  ò ế ô à ặ
𫽄 責 從 些 𣅶 中,ẳ á ồ  ú 
名 㗂 強 𤊪 撩 𦎛, ế à ỡ  ươ
𠊛 𭓇 習 朱 專,ườ ọ ậ  ê
包 徐 𠊛 占 魁 元 仕 𧗱, ờ ườ ế ô ê ẽ ề
𠓀 𡢐 朱 院 𠬠 皮,ướ   ẹ ộ ề
辰 功 德 意 渚 奚 涓,ì ô đứ ấ ớ ề ê
夫 人 𦖑 訴 情 頭, â  ỏ ì đầ
𠽔 浪 翁 𠰺 𡗋 勾 𠽋 唭,ư ằ ô ạ ắ â ự ườ
傳 固 傳 𨔍 𠁀,ệ ó ệ ạ đờ
𥋳 辰 𡂂 眜 𦖑 辰 債 𦖻, ì ứ ắ  ì á 
古 今 拱 渚 𧡊 埃,ổ  ũ ử ấ 
悲 徐 買 𧡊 翁 差 恪 皮,â ờ ớ ấ ô  á ề
空 䀡 冲 趣 茄 圭,ô   ú à ê
袞 昂 功 役 皮 耒,ổ  ô ệ ề ồ
仍 拱 𪽝 堆 塘,ư ũ ở đô đườ
𠬠 𬆄 為 主 𠄩 傷 為 𫯰,ộ  ì ú  ươ ì ồ
羣 些 低 絲 紅 𣠖 定,ò  đâ ơ ồ ư đị
仍 泣 䝉 謹 城 高,ữ ắ  í à 
𫨩 拱 伴 𦟐 桃, ũ ạ á đà
仉 辰 麝 蔭 𠊛 香 承,ẻ ờ ạ ấ ườ ươ ừ
察 分 𡛔 湄 啻 体,é ậ á ư í ể
役 枚 付 底 𡗶 停,ệ  ó để ờ à
據 之 梅 雪 買 清,ứ   ế ớ 
𦟐 紅 奇 遇 𡗶 撑 用 移,á ồ ỳ ộ ờ  ụ ờ
著 庒 沛 𨁥 味 買 歷,ớ ẳ ả đủ ù ớ ị
𠄩 𫅜 芸 七 夕 買 豊, à ề ấ ị ớ 
如 埃 𩈘 令 古 弓,ư  ặ ệ ổ 
咹 勾 卒 𢼂 𢧚 𫯰 𡗋 夭,ă â ố ố ê ồ ắ ê
閙 固 沛 𡗶 朝 國 色,ế ó ả ờ ì ố ắ
𦓿 𪽞 𪧚 𡥵 𬌥,ầ ộ ữ  â
𢵼 䕯 餒 𤞼 𢲨 臻 蟳,ớ è ô ợ á ă ằ
務 絆 遁 奇 𫷜,ù ậ ộ ả ă
役 税 拯 歇 群 針 役 夷,ệ ê ẳ ế ò ă ệ ì
翁 牢 呐 拯 𫨩 推,ô  ó ẳ  
浪 信 𠇖 固 欺 秩 𤙭,ằ  ợ ó  ấ ò
碎 低 局 劇 俸,ô đâ ụ ị ụ
吀 翁 役 意 譲 朱 姨, ô ệ ấ ườ  ì
楊 公 堇 𠬠 𣇞,ươ ô ẩ ộ ờ
𠸗 𫢩 沕 别 娘 珠 竜 耒,ư  ẫ ế à â  ồ
𡥵 𠊛 孝 罕 灰, ườ ế ẳ 
本 𣳔 阃 範 麻 𠊛 端 莊,ố ò ổ ạ à ườ đ 
辰 固 𪀄 默 䋥 紅,ì ó  ắ ướ ồ
底 嗃 拙 𨕭 空,để ê ó ê ô
遣 𠊛 𨅸 舘 秋 風 𢤜 愁,ế ườ đứ á   ạ ầ
傷 台 𫯰 牛 待 節,ươ  ồ â đợ ế
歇 𠬠 𢆥 買 叶 𠬠 吝,ế ộ ă ớ ệ ộ ầ
羣 之 月 女 麻 春,ò  ệ ữ à â
空 制 𫼳 㗂 女 難 别 包,ô ơ  ế ợ ầ ế 
當 𪱆 𭚯 湄 𤁓 吏 晴,đươ ắ ỏ ư à ạ ạ
卽 台 𡗶 𠹳 景 調 囂,ứ  ờ ợ ả đì 
𠊛 𠁀 𧯶 沛 榾 梂,ườ đờ á ả ộ ề
麻 𡗶 吏 鈽 鉊 㧍,à ờ ạ ú ì 
桃 花 𧯶 沛 䑓 霜,đà  á ả đà ươ
麻 𠊛 𢩧 𠬃 边 塘 𨀈 過,à ườ ắ ỏ ê đườ ướ 
𢢇 縁 傷 分 悴 賖,ủ ê ươ ậ ó 
責 𠊛 扵 萡 責 些 磊 辰,á ườ ở ạ á  ủ ờ
啻 别 𠓀 花 掑 洞,í ế ướ  à độ
渃 𣳔 塵 沚 𥊢 爫 之,ướ ò ầ ả ẳ à 
他 浪 拻 𠄀 顛,à ằ  ú đ
𥙩 英 勾 螠 脾 𡃹,ấ  â ế ì é
𣋽 勾 螠 最 𦹵 落,ớ â ế ố ỏ á
襖 𥯒 名 姅 撘 姅 𦣰,á ơ  ử đắ ử ằ
欺 𢝙 傳 辰,  ệ ì
𢚸 葵 篤 道 向 陽,ò ỳ ố đạ ướ ươ
𢬣 寛 台 吏 别 塘 斉 家,   ạ ế đườ ề 
𨇜 冲 𭲖 𦊚 徔 𠀧,đủ  đứ ố ò 
差 𠫾 役 意 𢖮 成 功, đ ệ ấ ắ à ô
𢚸 𬓲 𬓲 𠉝 皮 衝,ò ê ê ĩ ừ 
買 傳 妸 珠 竜 侯,ấ ề ả â  ầ
事 情 𤏣 𤋵 𡢐,ự ì ỏ ã 
疎 浪 㤕 分 婵 悁,ư ằ ú ậ ề ê
吸 凝 買 𨀈 疎 𨕭,ậ ừ ấ ướ ư ê
娘 𦖑 湥 玉 𣻆 𤁓,à  ọ ọ ô à
夫 人 保 姨 侯 并 牢, â ả ì ầ í 
布 孤 媄 娣 𠲖 𪡷 供 双,ố ô ẹ đệ ơ ờ ũ 
唒 甘 𢚸 𢼂 分,ẫ  ò ố ậ
𡦂 自 由 决 罕 欣 𠊛,ữ ự  ế ắ ơ ườ
加 夷 焠 腩 鮮, ì ố  ươ
縵 鵉 襘 鳯 請 台 床 𤘋,à  ố ụ ả ơ ườ à
宮 永 乙 庒 魔 芇, ắ ắ ẳ  à
悶 𫥨 𠓨 沛 𠳨 宦 官,ố  à ả ỏ ạ 
或 欺 承 叶 竜 顔,ặ  ừ ệ  
小 星 𢜠 㐌 𬙾 縁 衾 裯,ể  ừ đã đẹ ê â ù
仉 朝 𠊛 直 𢝙 強 虎 台,ẻ ầ ườ ự  à ổ 
况 𠇮 分 䕯 𩄲 㵢 𣼸,ố ì ậ è â ô ạ
边 幔 帳 闭,ê à ướ ấ
吏 強 𢞂 台 職 南 柯,ạ à ồ  ấ  
南 柯 𠬠 職 熾 斜,  ộ ấ ế à
拱 枚 𢘾 特 𣘃 樛 包 容,ũ  ờ đượ â ù  
𠸗 𫢩 分 𡛔 𡦂 徔,ư  ậ á ữ ò
払 差 妾 監 管 功 特,à  ế á ả ô đượ
𠦳 鐄 嗼 𠽖 𥚯 麻 特,à à  ộ ễ à đượ
悴 台 浽 公 勞 自 意,ó  ỗ ô  ừ ấ
㤕 身 柳 要 疎 桃,ó â ễ ế ơ đà
直 房 鵉 庒 𧡊 𩈘 竜,ự ò  ẳ ấ ặ ồ
園 渚 易 禁 𧊉 螉,ườ ư ễ ấ ướ 
𤒘 花 懝 𢢆 𩃳 紅,đố  ĩ ẹ ó ồ
粦 羅 貝 伴 文 房,â  ớ ạ ă ò
焒 𧵆 拱 礙 銀 𡗋 台,ử ầ ũ ạ ầ ắ 
遇 欺 月 醒 醝,ộ  ệ ỉ 
聀 浪 㨂 𩙌 掑 𩄲 凭 麻,ắ ằ đó ó à â ữ à
湥 洡 𢢇 分 孤 房 淒 涼,ọ ộ ủ ậ ô ò ê ươ
梗 春 底 客 𢯏,à â để á ẻ
䄆 𦾉 𠰘 仍 㖔,ưỡ  ệ ữ ô
𢜝 𢚸 君 子 智 高,ợ ò â ử í 
𫆧 溇 如 𣷭 𢲛 牢 朱 穷,ộ â ư ể ò   ù
别 浪 𢚸 固 傷 空,ế ằ ò ó ươ ô
焒 易 并 朱 衝 特 麻,ử ễ í   đượ à
翠 羽 唏 霜 冷 乙,ý ũ ơ ươ ạ ắ
𧜖 胡 羶 犀 羕 氷,ă ồ ê ê ườ ă
房 空 揞 幅 篆 残,ò ô ô ứ ệ à
𦖱 𦖑 徃 夕 邊 𧜞 蟡 嗃,  ắ ị ê à  ê
蟡 嗃 哭 房 往 𨤔, ê ó ò ắ ẻ
𦹵 花 𦹳 空 仉 永 𪮨,ỏ  ơ ô ẻ ế ă
強 愁 強 擬 強,à ầ à ĩ à
責 翁 絲 窖 制 堪 𦟐 紅,á ô ơ é ơ ă á ồ
他 如 体 翁 官 侍,à ư ể ô  ị
據 咹 𭉏 𥄭 技 𣎃 𣈗,ứ ă  ủ ỹ á à
默 𠊛 𫯰 㵋 𩄲,ặ ườ ồ ớ â
焒 縁 庒 悴 枚 塵,ữ ê ẳ ú  ầ
添 吏 特 朝 𧵆 𠃩 陛,ê ạ đượ ầ ầ í ệ
庒 如 埃 紛 花 葨,ẳ ư  ấ  ổ
𧯄 特 𩃳 𩈘 𡗶, đượ ó ặ ờ
䟻 朱 照 𦥃 霜 䑓 㐌 冬,ờ  ế đế ươ đà đã đ
察 𢼂 分 想 空 𢧚,é ố ậ ưở ô ê
俸 埃 爫 如 仉 未 亡,ó  à ư ẻ ị 
固 𫯰 麻 供 如 空,ó ồ à ũ ư ô
花 鮮 麻 供 如 也 移, ươ à ũ ư ã ờ
𢝙 之 女 麻 𡎢 終 𣇓,  ữ à ồ  đỉ
𫨩 之 麻 掛 梗 江 山,  à ả á  
𢝙 之 麻 笛 麻 彈,  à đị à đà
麻 吟 風 月 麻 𢺤 𢬢 情,à â  ệ à  í ì
催 些 唉 暫 仃 隻 𩃳,ô  ã ạ đà í ó
䀡 姊 姮 㨂 𦥃, ị ằ đó đế
仁 𢞂 咀 勾,â ồ ở â
𡦂 縁 此 𥋴 𧗱 𪢈 芇,ữ ê ử ắ ề  à
終,
払 浪 吀 渚 賖,à ằ  ớ 
固 𡗶 固 坦 固 些 固 𠇮,ó ờ ó đấ ó  ó ì
為 埃 娘 沛 身 征,ì  à ả â 
𫒂 負 涓 情 朱 當,ẽ ụ ê ì  đươ
愈 𢚸 妾 拯 𥒥 鐄,ẫ ò ế ẳ đá à
典 條 如 几 容 𨱽,đế đề ư ẻ  à
責 些 群 固 責 埃,á  ò ó á 
𠦳 鐄 𪾋 𢬭 𠬠 𠳒 呐 牢,ì à á đổ ộ ờ ó 
傷 娘 㤕 分 夭 桃,ươ à ú ậ ê đà
為 情 刀 等 管 包 待 油,ì ì đè đẵ ả  ã ầ
傕 辰 功 意 𡊰 𡢐,ô ì ô ấ đề 
順 𠳒 娘 據 𠫾,ậ ờ à ứ đ
原 恩 𣷭 爱 群 倍 夷,ồ ơ ể á ò ộ ì
買 沛 道 唱 随 拱 饒,ớ ả đạ ướ ỳ ù 
娘 𦖑 根 紊 頭,à  ă ặ đầ
情 𬓲 娘 計 𠇍 勾 盘 桓,ì ê à ể ấ â à à
想 欺 誓 海 盟 山,ưở  ệ ả  ơ
外 𡑝 䏾 月 冲 幔 聀,à â ó ệ  à ấ
共 饒 森 合 𠬠 茄,ù   ọ ộ à
縁 香 焒 陳 珠,ê ươ ử ầ â
𨀈 𠬠 𨀈 𠬠 油,ướ ộ ướ ộ ầ
𠬠 𣈗 滕 蕩 秋 恪,ộ à đằ đẵ  á
歇 𠳒 𫰅 𡮈 湿 高,ế ờ  ỏ ấ 
順 𠳒 娘 買 𨀈 边 冲,ậ ờ à ớ ướ ê 
𨖅 収 攝 皮 衝,  ế ừ 
谢 辞 娘 買 𨀐 𨖲 塘,ạ ừ à ớ  ê đườ
𨀈 寅 旦 舘 迎 香,ướ ầ đế á  ươ
𧡊 払 刘 駭 群 當 𡎢 麻,ấ à ư ã ò đ ồ à
谷 城 南 𦫼 蔑 閒,ó à  ề ộ 
奴 渃 㕵 少 𩚵 咹, ướ ố ế ơ ă
昆 隊 遁 楊 埃 眷, đò ố ườ  ế
馭 𤷍 少 几 𧜖,ự ầ ế ẻ ă
𪽝 狹 囘 坤 且 𩵜,ở ẹ ò ô ả á
茹 涓 趣 礙 挼 𤝋,à  ú ạ ô ằ
朝 官 拯 沛 隐 庒 沛,ề  ẳ ả ẩ ẳ ả
㭲 城 南 𦫼 蔑 閒,ó à  ề ộ 
𡥵 𪂲 拉 買 𪮊 𣎀 輸, ò ấ ấ ố đê â
𠄩 蹎 蹅 𫴋 能 能 𢭪, â đạ ố ă ă ắ
老 少 諸 𢧚 節 丈 夫,ể ể ư ê ế ượ 
免 羅 倣 樣 道 先 儒,ễ à ỏ á đạ ê 
昂 刺 刺 毛, í í 
茶 梅 店 月 曵 𫀅 俸,à  đê ệ ậ  ó
片 𣈜 春 𡎢 勾,ế à â ồ â
𢌌 狹 𡮈 𣃤 韻 奇,ộ ẹ ỏ ừ ặ ả
𬑵 𨱽 囷 苦 沕 如 饒,ắ à ô ổ ẫ ư 
姑 㦖 卒 吟 朱 技,ô ố ố â  ĩ
𠁑 功 名 刀 苦 辱,ướ ô  đ ổ ụ
除 旦 𠀧 秋 唉 𤋵 牟,ờ đế   ã ã à
𥪝 曳 悅 固 風 流, ạ ộ ó  ư
𠇍 𠊚 𣈜 怒 詩 杜,ấ ườ à ọ  đỗ
𦲿 梧 桐 末 秋,á ô đồ ạ 
𦊚 埃 窖 窖 槞,ố  é é ồ
𠊚 辰 𨖲 打 几 辰 𥉫,ườ ì ê đá ẻ ì ô
𨒣 鶴 寛 寛 𦛋, ạ   ậ
𡛔 腕 𨉞 螉 𫤋 𫤋 𢚸,á ố ư  ử ử ò
𦊚 𤗖 裙 紅 𠖤 法 派,ố ả ầ ồ  ấ ớ
𠄩 行 蹎 玉 𨀤 双 双, à â ọ ỗ  
制 春 㐌 别 春 庒 佐,ơ â đã ế â ă á
梮 擼 𠫾 耒 魯 補 空,ọ ổ đ ồ ỗ ỏ ô
几 撘 𧜖 几 冷 㳥,ẻ đắ ă ẻ ạ ù
㓠 吒 丐 刼 𥙩 𫯳 終,é  á ế ấ ồ 
𠄼 時 𨑮 祸 𫨩 庒,ă ì ườ ạ  ă
𣎃 堆 吝 固 拱 空,á đô ầ ó ũ ô
故 咹 𥸷 𥸷 拱 吼,ố ă ô ô ũ ỏ
扲 平 爫 摱 摱 空 功,ầ ằ à ướ ướ ô ô
身 别 𠰚,â ế ỉ
他 𫏾 催 停 於 丕 衝,à ướ ô đà ở ậ 
𤾓 𢆥 翁 府 永 祥 喂,ă ă ô ủ ĩ ườ ơ
丐 𡢻 𠀧 生 㐌 者 耒,á ợ   đã ả ồ
墫 秩 文 章 𠀧 𡱩 坦,ô ặ ă ươ  ướ đấ
𢬣 辰 扲 𦰟 茟 花, ì ầ ọ ú 
㝍 情 払 買 題 𢽼 𦊚 勾,ả ì à ớ đề à ố â
娘 竜 䀡 意 㐌,à   ý ã
𨀈 買 𠳨 𡢐 事 情,ướ ớ ỏ  ự ì
浪 牢 唉 客 書 生,ằ  ỡ á ư 
題 詩 意 不 平 役 之,đề ơ ý ấ ì ệ 
碎 𫢩 𡲤 分 女,ô  ả ậ ữ
𧡊 𠊛 𡦂 碎 辰 傷 台,ấ ườ ữ ô ì ươ 
因 牢 払 買 細 低,â  à ớ ớ đâ
𪾋 吀 君 子 𤋵 排 妾 𦖑,á  â ử ã à ế 
払 浪 擬 拱 𨔍 𥡳,à ằ ĩ ũ ạ ê
女 人 麻 拱 别 藝 文 章,ữ â à ũ ế ề ă ươ
𥊛 𠊛 拱 風 光,ô ườ ũ  
𠳒 咹 呐 拱 妙 揚 寛 台,ờ ă ó ũ ị à  
佳 人 渚 易 特 𠄩, â ư ễ đượ 
畧 㩫 簮 掑 丙 包,ượ ắ â à ả 
拯 𫨩 情 意,ẳ  ì ý
𨔍 𨓡 麻 吏 𨀈 爫 身,ạ ù à ạ ướ à â
𠳨 𠻃 思 懃,ỏ  ứ ầ
浽 念 払 買 歴 陳 分 明,ỗ ề à ớ ị ầ â 
浪 些 𪾋 唒 之 𠇮,ằ  á ấ  ì
責 英 楊 禮 薄 情 𡗋 傕,á  ươ ễ ạ ì ắ ô
交 逰 别 𠇍 𫷜 𡗶,  ế ấ ă ờ
𠳒 鉄 䂖 𠳒 漆 膠,ờ ế ạ ờ ấ 
闭 梁 月 漂 髙,ấ ươ ệ ê 
擬 情 麻 𠳨 𠶀,ĩ ì à ỏ ă
宗 希 弧 矢 𦊚 方 𡗶, ê ồ ỉ ố ươ ờ
曷 霜 橰 眉 哭,ạ ươ  à ó
湥 𧖱 𨕭 𢬣 𠲶 𠰘 唭,ọ á ê  ỉ ệ ườ
𠄼 𬙞 𣎃 𡗶 𠇍 祝,ă ả á ờ ấ ố
𤾓 𠄼 翁 府 永 祥 喂,ă ă ô ủ ĩ ườ ơ
隻 柏 𢞂 𧗱 分 浽 𬈿,ế á ồ ề ậ ổ ê
𡧲 𣳔 𢭂 札 渃 泠 汀,ữ ò  á ướ ê đê
𨉞 桄 情 義 涞 𣼽,ư à ì ĩ  á
姅 漫 風 波 𨻫 潗 泙,ử ạ   ố ậ ề
扲 梩 黙 埃 啉 杜 𣷷,ầ á ặ  ă đỗ ế
𣳔 繚 屍 几 㕸 𣵶 𡹡,ò è â ẻ ắ ô ề
意 埃 𠽄 板 甘 𢚸 丕,ấ  ă á  ò ậ
喭 餒 揞 弹 仍 咂 𭈻,á ỗ ô đà ữ ấ ê
管 包 塘 舍 賖 侵,ả  đườ á  ă
旦 𧡊 伴 知 音 麻 油,đế ấ ạ  â à ầ
吏 添 特 𠬠 䋲,ạ ê đượ ộ ằ
侫 臣 窖 𭓇 仍 勾 𠊛,ị ầ é ọ ữ â ườ
擬 麻 喭 朱 𠁀,ĩ à á  đờ
沙 機 𧏵 﨤 𩵽 唭 沛 油, ơ ồ ặ ô ườ ả 
舍 盘 之 𥒥 愚 夫,á à  đứ  
仍 𩔖 𫚳 别 志 鴻,ữ à  ế í ồ
源 干 責 几 同 𥦗,ồ ơ á ẻ đồ 
𢚸 麻 女 負 𢚸 故 人,ò à ữ ụ ò ố â
丕 𢧚 詠 𠬠 𢽼 韻,ậ ê ị ộ à ầ
姅 分 責 伴 姅 分 𫺶 身,ử ầ á ạ ử ầ ậ â
才 沛 𣅶 風 塵,à ả ú  ầ
油 浪 否 極 固 分 泰 来,ù ằ ĩ ự ó ầ á 
功 名 塘 駭 群 𨱽,ô  đườ ã ò à
丈 夫 埃 劍 之 埃 麻,ượ   é   à
𪡇 娘 麻 沛 呐,ể à à ả ó
拯 𫨩 娘 𠳨 之 些 悲 除,ẳ  à ỏ   â ờ
𦖑 𠳒 娘 買 随 机, ờ à ấ ỳ ơ
𠲶 唭 者 格 朗 𪪏 計 盘,ỉ ườ ả á ẳ ơ ể à
浪 㛪 㤕 分 紅 顔,ằ  ú ậ ồ 
㤙 吒 𢘾 媄 拱 𫔮 丐 身,ơ  ờ ẹ ũ à á â
想 朝 窕 清 新,ưở ề đệ  â
約 𬇚 特 几 文 人 買,ướ  đượ ẻ ă â ớ
双 堂 几 㕸 名, đườ ẻ ắ 
皮 才 色 押 情 分 𣘈,ề à ắ é ì ấ 
商 周 伴 𪧘 各 諸 堆,ươ  ạ ũ á ư đô
舍 另 身 閒 課 役 耒,á á â à ở ệ ồ
檜 俗 茶 常 坡 渃 雪,ộ ụ à ườ  ướ ế
尋 清 中 曰 羡 茶 梅,ì   ắ ệ à 
𪀄 叫 花 𦬑 𣈜 春 净, ê  ở à â ĩ
香 論 碁 殘 席 客 催,ươ ồ ờ à ệ á ô
盃 固 蔑 念 庒 女 豸, ó ộ ề ă ỡ ễ
道 濫 昆 免 道 濫 碎,đạ à  ẫ đạ à ô
𩄲 㪚 𩅹 𬰆 柳 撑 𪳀,â  ư ạ ễ  
戈 𠃅 禪 䦕 𥊘 眜, á ề  ẻ ắ
外 揩 𢬣 𠄩 注 脿,à    ú é
𥪝 間 啘 喓 英,  ố é 
征 荣 案 偈 鐘 鐄 紫,ê ê á ệ ô à í
涞 𣼽 超 香 𫢋 𧺃, á ê ươ ậ đỏ
細 景 𥙩 之 𦓡 景,ớ ả ấ ì à ả
跪 𠄩 𨆝 𫴋 𩠓 森 森,ỳ  ố ố ậ  
潘 佩 珠 小 史, ộ â ể ử
翁 圭 於 廊 丹 染 縣 南 𣐙 省 乂 安,ô ê ở à đ ễ ệ  đà ỉ ệ 
生 𢆥 𠬠 𠦳 𫤯 𨑮, ă ộ ì á ươ
𢆥 𫢩 𠄼 𨑮 𢆫,ă  ă ươ ổ
玉 底 𪵰 淎 𡎛,ọ để ấ ũ ù
迻 信 螉 𧊉 朱 𢞂 𢚸,đư   ướ  ồ ò
堛 𠇮 沛 𨀈 蹎,ự ì ả ướ â
尋 称 當 底 麻 𢚁 𭿍,ì ứ đá để à ậ ô
邂 逅 相 逢,ả ấ ươ ù
婵 娟 固 𠻷 英 雄 𫨩 牢,ề ê ó ẹ  ù  
罕 𦀊 月 老 車,ẳ â ệ ã 
朱 𢧚 妾 拯 管 包 𢀭 危, ê ế ẳ ả  à è
沛 縁 沛 刼 辰 蹺,ả ê ả ế ì 
他 鄉 﨤 渃 瓢 拱 𢧚, ươ ặ ướ è ũ ê
皮 丐 茟 丐 硯,ề á ú á ê
巾 𢯢 襊 妾 吀 拖,ă ử ú ế  đỡ
払 𦖑 擬 𬢱 秦 銀,à  ĩ ợ ầ ầ
因 縁 埃 窖 磋 運 吏 朱,â ê  é  ầ ạ 
擬 𠇮 當 𣅶 寒 儒,ĩ ì đ ú à 
别 埃 麻 㐌 𠻷 㗅 買 埃,ế  à đã ẹ ò ớ 
拯 戈 作 合 在 𡗶,ẳ  á ợ ạ ờ
吹 𠊛 青 眼 﨤 𠊛 紅 顔, ườ  ỡ ặ ườ ồ 
情 期 𢧚 伴 鳳 鵉,ì ờ ê ạ ượ 
路 詩 于 祐 路 弹 相 如,ạ ơ  ự ạ đà ươ ư
好 逑 詠 曲 拱 情,ả ầ ị ú ũ ì
𠊛 闺 阁 客 文 詞,ườ ê á á ă ừ
庵 竹 軒 梅 𣈜 𣎃 戈, ú ê  à á 
是 非 芇 典 𡎝 煙 霞,ị  à đế õ ê à
𩛷 咹 油 固 𦼞 㙁,ữ ă ù ó ư ố
襖 默 奈 之 錦 羅,á ặ à  ấ à
渃 養 朱 清 池 賞 月,ướ ưỡ   ì ưở ệ
坦 𦓿 牛 隘 𪽏 秧 花,đấ à õ ả ố ươ 
工 欺 興 動 店 雪,  ứ độ đê ế
吟 特 勾 神 𠱆 𠱆 歌,â đượ â ầ ắ ắ 
𢷀 包 蓓 淋,ũ  ụ ầ
𪮏 襖 旦 䕺 林, á đế ù â
棱 核 葉 花 迡 動,ừ â ợ  ầ độ
塘 𠃣 𠊚 𠫾 𦹵 急 侵,đườ í ườ đ ỏ í â
疎 帶 俗 嫌 勾 帶 俗,ơ đớ ụ ề â đớ ụ
主 無 心 客 無 心,ủ ô â á ô â
竹 樁 軒 永 工 欺 意,ú ô ê ắ   ấ
能 某 山 僧 𬈋 伴 吟,ă ỗ ơ ă à ạ â
娘 浪 香 火 生,à ằ ươ ả 
沛 𠊛 𩙌 𦲿 𫚳 梗 如 埃,ả ườ ó á  à ư 
為 縁 𢧚 沛 勿 奈,ì ê ê ả ậ à
吀 払 固 𢙇 情 人, à ó à ì â
𠄩 边 路 傳 懃, ê ò ệ ầ
闭 除 払 買 蹺 蹎 払 𧗱,ấ ờ à ớ  â à ề
戈 𨤮 長 堤, ặ à đê
脱 㐌 𧡊 𧵆 期 故,á đã ấ ầ ề ố
𥋷 𥊛 風 景 闭 除,á ô  ả ấ ờ
𨀈 娘 拱 堇 魚 如 払,ướ à ũ ẩ ơ ư à
園 春 景 色 強,ườ â ả ắ à
𣘃 斜 坦 松 昂 𦝄 𡗶,â à đấ ù  ư ờ
書 𥦗 墻 壁 雷 傕,ư  ườ á ô ô
詩 辰 𤁕 墨 𪽗 辰 派 𣘈,ơ ì ạ ự ạ ì  
